gamma_factor,RMSE,mean_time
0.0316,1.473521,0.0194
0.0631,1.182871,0.0194
0.1259,0.829484,0.0193
0.2512,0.480235,0.0195
0.5012,0.197457,0.0194
1.0000,0.137648,0.0194
1.9953,0.195831,0.0193
3.9811,0.309964,0.0193
7.9433,0.437658,0.0193
15.8489,0.533936,0.0193
31.6228,0.918312,0.0193
